sentiments,cleaned_review
neutral,returning middle track roller work mouse sits idle long loses wireless connection computer shut turn back led color changer cool
positive,buy gaming smooth mouse love work home utilize work home lap tops
positive,love ergonomic
neutral,coolest mouse ever charges quickly lasts long time love color changes smoothness scrolls
positive,really like comes usb adapter saved life new macbooks compatible usb really nice mouse fits hand perfectly love lights
neutral,cute
positive,love mouse color mold nice works well wifi mouse
neutral,mine hold charge long day use work used work needed plug half workday use private computer couple hours day
positive,really like new led wireless mouse easy hold really look led lights change colors works great mouse adds fun normal day love
positive,really love mouse issues thinking ordering sister one saw mines instantly fell love order one regret
positive,great mouse thus far love sleep mode large arch hand much recommend
neutral,mouse stopped working one week got response customer service
positive,really nice mouse smooth responsive clicks pretty noiseless first wireless rgb mouse get far disappointed also use connected charging cable
neutral,work sending back
neutral,like look feel mouse however fact charge kind pain make full work day usually end thebday plug wired mouse
negative,mouse certifiable piece crap worked initial charge drained never buy hunk junk
positive,wife loves uses daily issues led nice bright would nice add larger capacity battery
positive,grabbed laptop mess trackpad work days use longer holds charge fault charge port switched different one sure price good true
neutral,like
neutral,product stop working month
neutral,loved two months stopped working
positive,easy use great hand good product
neutral,mouse feels sleek hand however battery lasts hours takes hour charge fully led lights bright even turn feature mouse still dies three hours
positive,love mouse mouse came days delivery eta always nice love rechargeable dead batteries mid work shift mouse connected right away thinkpad ordered white illuminating changing colors look awesome mouse low profile really nice feel tend run computer mice pretty quick time tell longevity far note white version colors bleed top see picture video however still looks cool different advertised photos
positive,easy use love rechargeable
positive,excited mouse loved style lights ordered received used approx half day died never turned back charged quite realized hadnt charged tried wall outlet never turned back went reviews realized running theme many customers experience dont waste time
neutral,used months already broke dropped floor fragile
neutral,nice mouse
neutral,product worked first time charged could hold charge kept plugged whole day without success waste money get decent product decent manufacturer
positive,liked ergonomics easy hold mouse palm pain inspite heavy usage restarts quickly sleep mode consumes less power perfect buy value money highly recommend
positive,love mouse
positive,long range bluetooth super smooth laptop gaming totally recommended
neutral,battery dies way fast
neutral,cheapest flimsy made china item seen buy never worked box
neutral,mouse works well asked comfortable use changing lights drain battery quickly
neutral,stay charged long functions work
neutral,year barely used already stopped working right mouse goes place screen try put
positive,light love rechargeable
positive,decent like simple mouse cool lights well
neutral,attached bluetooth macbook help
neutral,like size
positive,great lasted mouse low profile easy hands eye pleasing white internal battery holds charge well used work day suddenly stopped working days short months look something durable replacement
positive,love hope buy love hope love
neutral,instructions mouse
positive,really love long battery life mouse wandering buying stuff got wanted back mouse even suggested friends buy happy purchase
neutral,get another mouse respond clicks scrolling time even got mousepad improves mouse functioning
neutral,two light modes like color changing option
positive,works great complaints
positive,light trendy easy connect use really love
neutral,got brand new laptop everything date yet plug receiver says malfunctions looking devices says driver error uninstalled installed reset computer multiple times get
positive,love colors shuffles also like virtually sound proof hearing click across room thing wish could pick stationary color instead feature always red
positive,easy hand looks great recharge easy
positive,seems working fine came also like glowing effect led lights
positive,need lights everything pretty annoying mouse wanders quite bit always listen trying
neutral,mouse working properly purchased even week ago sending back
neutral,quiet nice lighting
positive,love far problems love way looks feels highly recommend
positive,product awesome soft silent great gaming
neutral,needs charging average wireless mouse
positive,great little mouse light weight love colorful lights turn using save charging power
neutral,love mouse charge lot often expected
neutral,reacts little slow
positive,super quiet plugged hub adapter google slate tablet worked immediately issues lights color changes cool add feature complaints portable
neutral,spelt durable wrong say goodbye money
negative,really cute small fits well hands feels nice worked well week started lag thought maybe charge well idk problem mouse able use due lag
neutral,stopped working shortly started using
positive,found mouse small hand large person means might work child found thumb kept blocking left button changing lighting distracting although might become used could actually get left mouse button work also flat good ergonomics hand rest normally arched mouse allows
neutral,mouse wonderful feel lights pretty however first one broke even five minutes using stopped able click second one lasted one day quit tracking pieces junk returning
positive,cute fun watch using
positive,small hands fits perfectly cute lightweight
positive,sooo thing cute starters light weight without mouse pad smooths across surfaces easily buttons hard actually easier click different things negatives goes sleep mode turn second thing pro con usb chip make mouse work wireless stored mouse love makes traveling mouse work super easy wish latch release use card pop things great even charge took box
neutral,terrible product charge lasts couple hours
negative,mouse sensitive surface absolutely debris free flat signal signal sent wireless mouse computer screen several weeks tried several mouse pads surfaces paper mouse good fit like changing light color pretty great wireless mouse
neutral,turns using sometimes
positive,chic love way lights two settings either leave lights totally cut tap buttons works wonderful charge one time since mouse
neutral,first mouse work however sent gift certificate trouble mouse model works greateasy find lights
positive,great mouse best price
positive,price great functionality good light weight wrong
neutral,sync laptop
negative,mouse stunning first got fluent one problem major problem fact mouse kept left clicking every time right clicked chromebook setting fix overall annoying issue
positive,like easy flow using also lights different colors comfortable palm would recommend
positive,light fast comfortable changes different colors great buy
positive,two things like wireless mouse rechargeable took get used plugging laptop using easy usb cable provide charge lasts button necessary goes sleep mode close laptop told satisfied mouse
neutral,sleek ergonomic touch
positive,use macbook pro works great quiet smooth
neutral,chargeable battery life terrible feels cheap track well tossed rubbish purchased amazon basics mouse less expensive far capable alternative
positive,bought gold soft brushed color quiet use brightness color change soft also fits comfortably palm good purchase
neutral,looks good feels good works poorly track smoothly times trying get pointer stop little seizure screen tried without pad
positive,works great comfortable smooth
neutral,mouse seven days track well delay broken click button already broken advice want something sleek great sleek mouse reliable cheap get better mouse
positive,mouse awesome charges quickly comes adapter new apple mac plug thing hated dell mouse one smooth quick react quiet never thought would make difference students hear annoying clicking anymore recommend
positive,quiet easy hands making art laptop mouse smooth cursor movement super easy charge batteries
positive,cool mouse slim comfortable
positive,pretty cool devise easy install instructions needed
positive,mouse comfortable use sturdy fun led light great quality price
neutral,love mouse reason gave star rating scroll wheel opposite scroll forward away page goes scroll backwards towards page goes getting used rather like normal mouse way fix anyone else problem
positive,love mouse part colors vivid feels nice hand downside right click tendency stick even using left click days negative
positive,mouse great use like rgb effects really designed gaming
positive,mouse lightweight charges fast small cable included take batteries puts light show colors fun adults children easily turned switch bottom mouse mouse easy assemble small usb plug clips bottom mouse storage using plugs computers usb port use great mouse use backup color great also review title great spare mouse
positive,nice mouse needs like lights especially using dark makes easier use appreciate buy batteries worth purchase
positive,best wireless mouse ever used set two minutes feels good hand scrolling wheel nice clicking silent stand loud clicking mice got work computer think also going get one laptop
neutral,quit working trashed
positive,mouse super sleek comfortable people like hands flat super pretty lit works perfectly better drop drop anything carrying instantly stop working every minutes use expected cheap mouse one minor drop ridiculous
neutral,mouse issues working windows nice silence lovet
positive,bought new laptop bought love mouse color changing amuses thought hmmm buy happy
positive,easy setup nice stylish great product price
positive,pretty fits hand perfect lights soooo pretty lol beyond easy set laptop came partially charged even could use right box easy charge lasts really long time love would totally gift
neutral,product worth money stopped working together months
neutral,changes color feature switched work mouse macbook even using included receivers
positive,love mouse laptop glad chose one comfortable slim sleek palm love rotating fun colors emits also turned single color mode
positive,really quite use beautiful look
neutral,buy doesnt connect show laptop pair dont suggest anyone buy item
positive,purchased year old daughter absolutely loves sleek design great small desks true color highly recommend
positive,great product recommended
positive,mouse contained japanese package made china comes type adapter charging usb cable regular usb mouse receiver thin instructions plugged type adapter two different machines result neither laptops read type directly another adapter also tried another wireless mouse receiver type results none work adapter issue mouse works also goes sleep clicking mouse one able use also nice feature wireless battery included plug charging cord empty usb slot color changing around rim mouse gives nice touch although first mouse feels long due sleek shape fit comfortably hand also plastic like feeling instructions says avoid dropping mouse malfunction break
positive,sleek looking pictured love color good product
positive,great works good
positive,great ergonomic mouse gaming
neutral,use mouse every day desk long battery time limit working amazingly highly recommend
neutral,well enough
neutral,matches computer
positive,mouse much better wrists sleek new design makes easier sit day without need move another position relieve strain wrist love rechargeable aspect longer need struggle endless supply battery replacements easy sync ready right away many colors choose
neutral,rose gold color pretty color changing effect nice first hour use colors started glitch back end mouse staying yellow front continued change colors option turn colors end red light shows randomly moving mouse around get job done also feels cheap compared logitech name brand get pay case
neutral,like color thought going changing colored lights close red disappointing also kind flat smaller expected overall mean need
positive,recently bought new chromebook wanted wireless mouse match came across mouse reading reviews figured give try cant say good works yet never recieved usb adaptor reason cant get connect wireless sure ill figure wouldve nice wire option well otherwise slim wanted like lights
neutral,mouse poor sensor take several seconds wake inactive bit sometimes click dpi button mouse buttons several times shake mouse wake sensor also move fast try moving mouse quickly cursor gets spastic starts curving around screen like deja playing background speaking clicks left mouse button double clicks quite bit thing mouse going design even design uncomfortable since flat find better mouse please torture
positive,works well keep led light shut save battery week needed charge yet shut use nice cord deal want buy another one love much color gorgeous
neutral,connected mouse whole mechanism fxxxxx
positive,like mouse operates excellent light show great everything wanted bought thank cool functional
positive,love mouse got teal used first time today love
positive,super comfortable use
positive,mouse feel different others used light comfortable easy control hand stretch pain using mouse work whole shift light old one
neutral,every time use mouse high pitched noise hurts ears
negative,purchased office mouse looked nice colors pretty mine started problems days later unresponsive jerky days stopped working despite charging overnight tried charging different outlets make sure outlet bad hold charge died within minutes asked employee identical mouse different color said never seemed work right hold charge used included cord tried charging computer hub power strip charging block included plugged multiple outlets returning packaged items requested requested pick slip found return slip face ground sidewalk several feet front office days later stuck door mailbox mounted next front door one knocked let know delivered found staff member gone sanitize outside door handles take drop location return pickup going cost despite package ready send return sticker dropped unhappy item return already ordered similar replacements another seller
positive,light mouse great similar ones like one rounded edges aesthetically pleasing imo holds charge long enough annoying though would nice option turn light using save charge even options constant red light cycles colors clicks definitely close silent could get thing bothering wheel squeaking weeks use intend drop onto sure fix problem think necessary begin overall good choice though immediate update directing wheel well mouse easy even using pin dropped mouse wheel scroll spins soooooo great removing star either accept squeaky wheel careful trying oil said wheel drop die ugh
positive,idk would say great mouse gaming great price smooth different setting great flip lights like rave hand
positive,like comfortable half much one buying exactly thing pretty lights make good look also
positive,nothing dislike wireless mouse use laptop computer would recommend anyone would ask
positive,mouse worked great days worked tried turning today wont light connect computer tried connecting cord provided still wont work sucks outlook mouse cool along led outlining
neutral,quit working days take back refund
negative,one drop floor broke
positive,really like mouse light action immediate also like usb input great product
positive,sooo pretty easy use described online highly recommend love rose gold
positive,small good shape easy install
neutral,bad pretty smooth operation delays movement connects quickly lap top
neutral,worked great died months ownership
positive,really like slim size fits ravel bag nicely love turned travel remove battery colorful lights nice touch
negative,decent little wireless mouse priced good children tend lose destroy things biggest issue charging cable comes garbage charged using phone charger decent purchase would buy
neutral,stay charged long enough bought sometime road llput new rechargeable batteries see problem fit nice use runsmooth
positive,got last night new acer plugged mouse curser jumps around usb usb plug zig zags across screen trying move straight line stops short moving edges screen move gently get anywhere precision charged overnight results morning adjusted dpi button jumps faster around screen tried troubleshooting use mouse house work fine returning mouse purchasing something works
positive,bought love
positive,excellent mouse smooth
neutral,exactly says quite convenient mouse
neutral,would recommend mouse feels like plastic break second cheaply made light shines top layer plastic makes look way worse
positive,great portable mouse color changing fun setup easy lightweight ergonomic device also great value
positive,convenient quite excellent connection computer
neutral,buy product work intended purposes using mouse computer lights thats leave zero stars would could
neutral,loved worked yet two months later literally stopped working tried multiple usb ports avail guess get pay
positive,love mouse lives description
neutral,usb compatible usb port laptop desktop
positive,mouse slim comfortable wrist colors really cool mouse battery goes couple days
positive,pretty super quiet
positive,like mouse originally thought wast great price glad wrong mouse little sensitive dropped causing freeze somewhat however installing seemed fix issue also enjoying colour changing helps relax almost overall highly recommend compatible mac plug play
neutral,practical fir everyday use
positive,comes exactly described works great easy recharge
positive,mouse light easy use changing led colors nice look
positive,sleek clicking noise pressing mouse buttons optional lights mouse also helps studying night definitely buy recommend work staff excellent product great price good job
positive,super cute mouse love color love led lights issue glitchy like seems want thing good sit desk hours completely flat surface mouse move
neutral,quite clicking
positive,love option turn lights nice rechargeable used charging needed color got mint color recall listed fun color light mouse added bonus
neutral,broke immediately
positive,absolutely love mouse break would buy product
positive,since mainly draw art see need bulky gaming mouse fits perfectly hand quiet clicks ideal drawing night family asleep ability switch changing colors plain mouse mode useful enjoy fact turn switch mice price range never option good buy casual office laid back working experience
positive,mouse perfect girl gamer everything looking style wise worked perfectly
neutral,bought work
positive,really like product left handed searching something universal light sleek easy transport charge stayed longer expected
positive,got replace white one broke well let say love stays charged long time color change beautiful
positive,bought son loves compact portable
neutral,pretty dies quick even new batteries returned
positive,order came fast time use little mouse work time lightweight slim enough put scrub pocket travel easy clean thing see tell battery runs low keep extra mouse handy times complaints
neutral,cool
neutral,like design feel mouse concern tends sleep anytime used minutes press button top come right back guess time learn time want use use function smoothly hoped would hesitating start curser hops trying drag one place another
positive,great product nice nice price daughter love
neutral,mouse stay connected computer
positive,love easy handle give sure
positive,purchased mouse tired uninstall install bluetooth mouse using mouse responsive fits nicely small hand excellent buy price battery lasts turns use awhile
positive,mouse comfortable ergonomic also silent led lights calming love recommended
positive,cheap cheap cheap cheapquit working like day outside return window good thing cheap buyers beware spend little
neutral,real like mouse stays charged long time
neutral,basic sleep mode irritating
positive,update charging less minute whole house smelled like burning plastic time cord got super hot part plugged mouse super hot well probably would caught fire left unattended update using different cords fine use cord comes update battery hold charge really wanting mouse work looks like returning
positive,great mouse bought second one take work
positive,mouse arrived next day easy set use problems works
neutral,mouse work wireless receiver work mouse connect laptop
neutral,mouse seriously cool comfy quiet click light show
positive,love mouse perfect price using lot need charge really recommend
positive,really like new mouse light works better hand sleep mode awesome kids love colors gaming last night worked great play league legends
positive,love slimness mouse without loosing great functionality charge feature great
positive,use gaming laptop honestly amazing easy set great price
positive,sleek kewl low profile easy hands satisfied product
positive,small hands feels great light pretty live changes colors used gaming though
neutral,second time buy everything need battery hock laptop charging comfortable holding moving smoothly got appealing look bought another one another brand stopped working awhile one real deal exploring mouses sticking
positive,bought mouse saw wireless silent click perfect working class room loving hear click mouse day dropped times time able move plastic back place repair duriablily drops awesome move classes see different classes
positive,beautiful daughter loves
neutral,makes almost mute power sound use become annoying use silent room light also makes internal part mouse visible works well
positive,kiddo needed wireless mouse take school fun light weight pretty durable love charge along laptop night
positive,expecting much seemed low priced using daily work month wonderful issues actually bought two one grey one gold work fine
neutral,mouse works high pitch noise entire time use drives crazy
positive,trying find mouse new laptop came across mouse best one found like smooth color super nice
positive,great value arrived quickly works great usb fit port mouse need usb
positive,mouse really quiet clicking sound liked comfortable hand hold charge long nothing worse responding middle work day tried different brands one bluetooth feature could use tablet held charge week getting another one
positive,love slimness mouse colors works really well charging usb easy
positive,love new mouse work home job still use mouse day everyday originally using big bulky gaming mouse lights looked cool last years hand starting hurt ready downgrade something smaller lighter saw see let tell love new mouse small light easy use clicks super quiet feels great hand yes plastic actually feel cheap feels like good build responsive glides smooth gripe wake sleep click mouse button instead moving like items minor issue different colors comes nice also rgb color changing lighting nice effect definitely recommend mouse home office use
positive,product described looks great lights ordered twice
positive,love product bought microsoft surface pro works perfectly
positive,love way mouse performs
neutral,mouse stop working within months purchase plugged computer via mouse included cord still work throwing trash
positive,fits prefect hand lights great keep tack mouse dark room
neutral,mouse working good middle working clicker stop functioning unfortunately purchase item january return window close really felt confident product nice lasted edit spent replacement given problems
positive,mouse since august like writing reviews item bit mouse worked great love quiet however weeks ago started giving trouble find tapping medium force desk order cursor move charge completely even completely charged gives issues
positive,easy setup mouse works perfectly absolutely love color change lighting
positive,looks good works well
positive,needed slim mouse rechargeable little mouse saved day ergonomic glides smoothly mouse pad pleased purchase changing lights extra bonus good quality product
positive,change battery drew goes sleep save power hard get working thought slim profile mouse would better travel hard hold thought might big hands gave wife gave back said hard hold
positive,excellent product works right box
positive,smooth easy use good around product
positive,love mouse got pink gold rose one first elegant best part mute clicks soft smooth
positive,nice size mouse love color lights charge overnight use day like work
neutral,love looses juice within hours without plugged work hour shift plug busy shift need one battery
positive,absolute garbage day using multicolor setting mouse work known something instructions mandarin went straight trash get work also feels super cheap please reading reviews lying buy mouse
positive,love smooth easy handle change setting red multicolor color want purple mean wait purple come around happy need needs better detail instructions
positive,mouse great everyday tool ergonomics functionability
positive,nice mouse recommend children broke dropped floor adult use seems like would fine
positive,love everything recommend
negative,love way mouse looks feels mistakes make mouse mind jumps place accidentally closed files programs working move public folder contact move back many random errors result erratic mouse sometimes even using mouse see curser walkabout screen perhaps ghost machine hostile replacing asap
positive,wish would seen video another reviewer white mouse purchased white one like fact light visible throughout whole mouse assumed would line light circles mouse shown sellers pictures like look whole mouse lighting shown video mouse overall like mouse want deal exchanging planned getting mint gone instincts glides smoothly clicks slient returning like diappointed white one shown described
neutral,loved stopped working charge couple months junk
positive,really nice rat would definitely recommend feels great rechargeable cool led colors wireless
negative,using weeks died charge
negative,rechargeable cordless mouse good idea invention deal batteries mouse seemed need recharging day great one bought worked well even though something odd sure mouse inexpensive tablet computers use maybe usb splitters use however probably mouse using mouse normally hours mouse would show arrow screen found would turn swatch mouse turn back boot mouse periodically seemed nothing recharging would happen even mouse fully recharged would unpredictable would happen overall even minor flaw one day actually date writing march put mouse receiver different receptacle use different tablet computer would work matter tried decided take receiver usb receptacle found metal square part receiver stuck usb receptacle leads believe possibly mouse receiver became faulty regular use weeks since bought otherwise way receiver made best possible way rugged enough maybe however though know point way rechargeable mouses brand particular one bought actually pass quality control factory seems company give replacement going see guess told deadline returns reached update able
positive,wife loves use camera system
neutral,mouse great one annoying thing would give stars emits really high pitched squeal use mousepad coincides led light color change pick set makes really high frequency sound irritating work quiet environment similar smoke alarm far away get one lights help
neutral,thing like charge usb sometimes trying use dead connect computer use works best longer cord
neutral,mouse charging weekend returned work monday morning smelled something hot one else smelled anything went unplug mouse cord hot even touch entire cord melted wires burned rubber coating easily could caught computer fire buy mouse unless great fire insurance
positive,scrolling wheel work daughter excited use scroll cute mouse
negative,move used days gave really bad
positive,works good son loves
positive,mouse works great love rechargeable plug laptop couple hours good
positive,used security system works good easy set
neutral,performs advertised easy plug use
positive,great wireless mouse super quiet clicks
neutral,favor waste money cheap flimsy mouse works couple weeks
neutral,great first month stopped working like battery weak slow respond movement felt sticky recommend
positive,good quality sleek pretty use desk work issue using scroll page ball starts squeaking otherwise great
neutral,good mouse foe every day use
neutral,thought mouse gon work really good last long time based reviews unfortunately charger came mouse charging mouse tried everything get work would mouse worked hours dying good purchase satisfied product
positive,love colors mouse keep thru nite last long time one charge
positive,works well color matches laptop perfectly
positive,simply put great mouse worth however difficulty connecting mouse macbook pro usb adapter comes product ports manual grammar terrible btw tells try different ports claim work normally one none worked bummer tried adapter connected right away adapter provide useless plan getting mouse use macbook get separate adapter connected though seemed work perfectly smooth tracking silent clicks rgb lighting beautiful got today hopefully keep working way claim work
neutral,wireless feature recharging computer
neutral,local department store opened package inspected mouse obvious scratches looked like wear bottom works gets job done bought mouse tired buying batteries another wireless mouse mouse work plugged computer charge
neutral,stopped working cant return either
neutral,seemed work okay minute used mouse security camera nvr system scratches around sides looked obvious return actually first amazon power cord looked used also returning buy new expect new
positive,good mouse regular use great rgb lighting
positive,super easy use plug initial charge recharge via usb cord needed kinda fun light display change colors throughout day soft touch right left click barely makes clicking noise
neutral,worked fine needed fell table one time broke half purchase disabled mother
neutral,ordered nice wireless mouse surface pro works nice went pull usb surface pro part stayed stuck port use pliers pull sure tight fit poor workmanship mouse works fine
neutral,fast
positive,normally like using mouse laptop built keys laptop starting decided purchase mouse looking mouse wanted something sleek able take school back fits hand perfectly enjoy sleek looks thing would change able decide color color patterns worth purchase
neutral,product stopped working shortly month click properly
positive,love mouse hate time love cute functions well run battery charge normal use charge lasts days good recharged think would recharging often tell running low starts jumping place try remember charge charging laptop also impression came usbc charge comes adapter usb usbc could got adapter old mouse made clear
neutral,love part charges fast runs fast hard see pointer arrow closed lots things accidentrn
neutral,slightly annoying recharged even use design sleek good size quiet
positive,bought love looks feel however used days quit working
positive,sensor always pick movements clarify using gaming wireless mouse work coaching speech debate sometimes sit long sensor takes time come back online andreas movements super frustrating working need move alacrity life one would expect mouse overall menial office tasks probably okay mouse rechargeable batter cool happy replace batteries would probably wired mouse future
neutral,nice problem noticed far really hard click scroll middle button really stiff
positive,works great battery lasts long time used everyday since purchased month ago havent charge many times clicks quiet well light setting looks amazing
positive,product works great love
positive,work super great recommend buy
positive,click loud get picked gaming computer recorder battery last near long enough even whole day even lights feel nice hand track well would say mouse pad optional one
neutral,like true noise
positive,great product delivery price
positive,mouse person prefer track pad need work absolutely love even use personal computer
neutral,never write reviews matter fact first ever written due danger factor felt compelled son plugged mouse morning walked away within minute husband smelled something burning fortunately able get flames yes flames reached drapes charging cable caught fire
positive,got mouse daughter beyond excited finally received well day charge gave break decided try charging mac originally tried school chrome book seconds plugged started smoking smelled like burning plastic quickly unplugged bother anything else mouse
positive,great mouse travel slim ergonomic perfect bag enough space need pack move quickly sleep mode feature nice adage increasing battery life usability far gaming goes would recommend lite casual games gaming heavy side overall would buy
neutral,scroll stopped working weeks use
positive,got match skin works great
positive,love best mouse
positive,mouse amazing completed work home station made desk look less cluttered love led lights would never definitely buy recommend people
positive,bought mouse wife use new macbook air must say mouse exceeded expectations happy purchase refer anyone looking quality mouse business
positive,daughter use laptop plays games battery life fair since use mouse alot say hours countulessy
positive,love feel look
positive,purchased mouse son use school work loves colors fun moves smoothly also loves make clicking sound would recommend
positive,mouse great hours stopped working mouse even snake would like worthless
positive,perfect
positive,pretty good hard use beginning seemed like didnt work sensitive spots get used works fine
positive,great mouse trying mouse used type device keeping option normal usb open
positive,looking wireless rechargeable mouse recently lost old mouse kind glad really love one super cute sleek lights pretty clicks quiet like says description easy use would recommend anyone looking mouse
positive,mouse sleek slim pretty love lights battery goes pretty quick using light changing setting lower setting lasts quite would definitely recommend
positive,like mouse light colors constantly scroll rainbow static one color office bedroom leave mouse makes great nightlight bright light enough find way around wake night especially love fact rechargeable put batteries since bought several months ago thing like tendency thing sometimes working couch put mouse next flat completely still rolling backwards moving cursor screen sometimes take diagonal stuttering way across screen times using mouse click drag something draw line cursor suddenly jump completely different part screen hiccup lose hold clicking dragging cause line wobble sometimes quite sharply kind like trying draw straight line car tire hits pothole good little mouse aside spastic glitches pleased getting tired full control right need may keep one nightlight capabilities shop another rechargeable mouse use computer
negative,work tried reach seller instructions chinese simply poor poor service purchase peril great disappointment kid
neutral,going well weeks son dropped macbook usb type connected broke easy break would recommend
positive,daughter needed wireless mouse laptop came across one bought cool features size price smooth loves using along fact lights goes led lights room disappointed mouse
positive,really like sleek mouse extremely functional lights add cool futuristic type vibe making experience enjoyable every time another neat function silent clicker work early mornings wake family constant clicking noisy mouse definitely luxury happy purchase
neutral,like
positive,absolutely nothing disliked product better advertised thing looks though made china yeech good product going get another one
positive,coolest mouse ever sleek modern high tech sexy lights everything slips briefcase new ultra thin laptop sweet
neutral,purchased rose gold matches airbook charges fast lasts long time charges glad bought wireless mouse use hrs day days week
positive,mouse colorful addition desk unlike computer mice owned thumb operated controls left side left handed person like would unintentionally press button start function want activate week remains seen frequently needs recharged light display draws significant amount power need remember turn mouse whenever shut
positive,black feels super soft plugged usb computer also comes usb adapter incase left right button clicks softy annoyingly middle scroll works great click bit louder click onto document click anything happy purchase looks great night gamer music producer look
neutral,great mouse price thought bluetooth still good though
positive,sleek like fact charge computer light works great sitting mouse needs wake pressing right click
positive,reviews mouse work first use caused apprehension given price took risk needed really pretty well great product
positive,purchased gift nephew really likes
negative,month update thing squeals took week figure kept hearing high pitched whine every time moved cursor eventually realized something inside mouse creating high pitched squeal every time move top mouse dying day use means thing definitely buy something else thing total headache since got battery mouse seem last long time two days usage die find plugging every night make sure deal additionally thing goes sleep minute two without movement super annoying click mouse wake registers click wherever mouse left screen went sleep recommend type work requires small periods typing reading end waking mouse weird sleep million times
positive,mouse decided stop working forced get new one found one thought would give try glad sleek stylish love lights would highly recommend anyone wants sleek fun mouse
positive,love mouse makes productivity rate hight using laptop glad light distracting
neutral,item received charger work
neutral,used died charged days still work
positive,excellent product lightweight smooth rolling actio love way looks highly recommend mouse
neutral,worked month recommend
neutral,metal casing usb remote came stuck usb port computer
positive,first left mouse click sensitive enough requiring longer press usual mouse register click annoying betting shorten life mouse press harder longer another less significant annoyance make sure turn light feature looks cool thing acts like lava light night light continually changing colors light even use even computer run battery like rechargeable feature looking another mouse
positive,mouse sleek comfortable enjoy sleep mode terrible turning mouse using setup simple since adapter
positive,got wife seems like looks nice feels good hand
positive,love mouse others never like easy connect plug usb connector thats drivers install download works right box natural using mouse even used coach worked perfectly arm rest would recommend day good product
neutral,market new mouse logitech wireless going bad red stay wireless budget logitech named brands expensive wanted one looked cool cheaper ones normal looking got one cheap led lights cool feature got feels great feels like apple mouse buttons really quiet typical mouse click sound edit get mouse first broke completely fault fell stepped accident since cheap bought another works well first
positive,smooth use love different colors
neutral,lasted months
positive,purchased product daughter happy overall looks performance recommend buy great buy
neutral,mouse works directly next usb port plugged useless using foot keyboard tray instructions english try troubleshoot
positive,love fits hand right issue came another language
positive,needing wireless mouse longest product definitely looking nice sleek feel long battery life glad bought
positive,everything went smoothly mouse looks awesome works perfect
negative,decent worked though waking sleep required switching back underneath laser stopped working fully charged color lights work making useless
positive,mouse perfect bought match keynote light keyboard matches better expected colors change gaming keyboard works perfectly gaming normal day day use would buy
neutral,mouse worked one time worked since tried charging flipping different settings lights
positive,rating one star cute mouse like design reason found macbook trackpad comfortable use mouse wrists hurt within couple hours using mouse said used moderation wanted like however received mouse january january responsiveness gone downhill taking charger short battery life takes seconds moving scroll wheel respond even might hard ignore hiccups
neutral,one grandson liked got one birthday
negative,better getting wired mouse thing bad sensor light bleeds top shell mouse worse actual functionality poor looking accurate mouse multi colored mouse pad sensor struggles change shades making mouse difficult use plain color mouse pad may acceptable
positive,highly recommend silent click great option turn color changing mode
neutral,would recommend would buy
neutral,easy setup plug usb works smooth cursor movement clicking wheel scroll well moves screen lines quits scrolling together
positive,great far use macbook pro really enjoying great touch super lightweight
positive,super quiet hear clicks love rechargeable instead replacing batteries weeks charged twice
positive,great mouse
positive,really enjoy feel mouse slick put less strain wrist still getting wrist support colors need turned left middle keeps mouse red light underneath
neutral,could use instruction sheet also expected battery life single charge
positive,love color light easy use best part download drivers
positive,old school comes navigating screen work much faster wireless mouse everything mouse great except got charge mouse require batteries work long time months fact charge mouse last long remember turn using also remember plug charge long use starts acting sluggish power runs old mouse years old wanted cool new one match new laptop one soft smooth click led lights really fun however threw away box tried would send back kept shipping material keep old one close new one charging much progress
positive,made sure product gon good one disapointed silent click nice lights look awesome worth
neutral,went batterys like crazy last long disapointedit
neutral,took less day receiver fall apart usb port shell stuck take computer get pulled
positive,love lights easy set
positive,update upped review since reached seller offered send replacement usb dongle update review received would given mouse five stars month ago yesterday removed usb dongle laptop thing fell apart hands mouse worthless tried piece back together stay together shame mouse really cool looking feels nice hand holds charge long time disappointed
positive,user friendly modle light weight silent rechargable easy move around one suggestion better instruction english version
positive,item good used enough determine capacity battery happy far
positive,needed mouse laptop lights awesome
positive,bought daughter received new laptop christmas loves led lights easy set use works wonderfully
positive,bought mouse mine went bellyup thoroughly pleased one easy use easy charge plus around nice mouse yes buy
positive,wireless bluetooth misleading recommended mice total waste money fits nicely palm small hands
neutral,stopped working week even plugged computer
positive,pretty good price works
positive,soo cute sleek design love came type attachment new laptop usb ports yea rose gold color matches laptop perfectly color changing lights around thw mouse die cool feature
neutral,hard click worth
positive,awesome little mouse connection super easy quiet mouse compared last mouse silent buttons work great feels really smooth think size perfect
positive,old mouse needed batteries always needed changing sleep mouse awesome holds good charge falls asleep mulitple dpi cool lights gotten sooner
positive,beautiful wireless mouse makes day office brighter
positive,truly amazing product
positive,love mouse believe ever said great economic shape love color light feature almost mesmerizing rechargeable
neutral,goes batteries like water
positive,almost tiny hands light works good decently priced learn use surfing web yet let mention seems curve shape fine thumb side pinky finger side going take getting used many times pinky fingers slide right lift surface slightly matter gentle think holding past taller models flair formed keep fingers position construction using stuff requires good grip makes like using feather barely feel makes wonder would gaming got excitement need make lot fast moves elves would love thing though scrolls moves around good may even make flange fingers give weight without old fashioned battery weighing cool lights joke good choice since many look like perhaps everybody else grip control lol yet thank found another fun product amazon
